Particulars,2018,2019,2020,2021,2022,2023,2024,2025,2026
Sales,409.51,463.93,633.03,711.28,1194.18,1484.25,1448.29,1592.96,1774.12
Raw Material Cost,269.16,283.09,443.9,416.48,698.55,860.29,684.61,739.17,909.35
Change in Inventory,14.19,4.3,39.77,29.97,95.38,108.31,-10.85,-28.09,73.04
Power and Fuel,3.37,3.9,6.18,9.0,17.36,22.16,21.49,23.31,
Other Mfr. Exp,21.65,26.35,37.59,48.75,74.87,111.44,105.77,117.21,
Employee Cost,24.8,33.84,47.08,50.6,66.45,80.92,102.81,119.83,140.17
Selling and admin,41.47,51.58,51.44,84.44,174.0,228.8,262.24,294.76,
Other Expenses,10.34,12.16,14.73,16.41,15.43,35.38,49.53,27.02,505.75
Other Income,17.52,25.65,36.45,3.73,1.47,2.75,4.35,14.65,22.84
Depreciation,8.36,8.61,19.93,32.22,53.04,71.04,72.11,75.49,88.3
Interest,20.1,14.46,12.97,17.16,19.62,28.68,23.2,18.79,24.26
Profit before tax,41.97,59.89,75.43,69.92,171.71,156.6,120.03,163.94,202.17
Tax,10.51,19.71,15.12,43.05,63.17,39.48,30.59,42.76,52.08
Net profit,31.46,40.18,60.32,26.87,108.54,117.12,89.44,121.18,150.09
