Particulars,Note,CurrentYear,PreviousYear
Particulars,,,
Cash flow from operating activities,,,
Profit before tax for the year,,28313.98,8450.56
Adjustments for:,,,
Finance Cost,,11.69,62.49
Depreciation and amortization expenses,,13423.52,12184.42
Interest Expense,,4892.79,4302.97
Rent Concession on account of COVID - 19,,-2816.19,-5188.39
Net unrealised exchange loss/(gain),,-0.01,0.13
Loss on Sale / Discard of Property Plant & Equipment (net),,329.84,258.03
Dividend income from Current Investments in Mutual Funds,,0,-52.02
Net gain on sale of Investments,,-366.36,-472.63
Net Gain arising on Investments designated as FVTPL,,-1211.36,-1359.48
Interest Income,,-1081.20,-530.78
"Allowance for expected credit losses, advances and deposits",,33.73,76.93
"Liabilities no longer required, written back",,-180.31,-88.26
Advances written off,,49.32,70.35
Net Gain on derecognition of financial liability at amortized cost,,0,-10.94
Employee's Stock Options Expenses,,329.23,0
Operating profit before working capital changes,,41728.66,17703.38
Movement in working capital:,,,
(Increase)/Decrease in Trade Receivable,,-750.44,1970.42
(Increase) in other financial assets,,-1473.35,-351.17
(Increase)/Decrease in other current assets,,-4791.13,491.75
(Increase)/Decrease in Inventories,"(13,443.77)",,8637.61
(Increase) in other non-current assets,,-60.59,-103.06
Increase/(Decrease) in trade and other payables,,2777.94,-305.47
Increase in Other current liabilities,,4626.39,567.13
Increase/(Decrease) in Other financial liabilities,,84.90,-38.80
Increase/(Decrease) in Provisions,,416.95,-8.32
Cash generated from operations,,29115.57,28563.47
Less: Income taxes paid,,-7145.97,-2035.81
Net cash generated from operating activities,,21969.60,26527.66
Cash flow from investment activities,,,
"Capital Expenditure on Property, Plant & Equipment and Intangible",,-4791.69,-2510.21
assets including Capital Advances and Capital Creditors,,,
"Proceeds from Sale / Discard of Property, Plant & Equipment",,48.37,35.44
Interest Received,,675.97,187.69
Bank Balances (including Non Current) not considered as Cash and,"(31,406.31)",,-6716.96
Cash equivalents,,,
Purchase of Current Investments,"(29,998.35)",,-48438.17
Redemption of Current Investments,,35379.20,45152.28
